order,machine,gt
• date276 item1080 23148 0 4,"• machine28 4.0
• machine23 2.65
• machine10 3.57
• machine08 3.96
• machine29 3.43
• machine21 8.85
• machine22 4.87
• machine30 2.8","• machine10 1
• machine22 1
• machine29 1
• machine30 1"
• date276 item1240 105576 0 93,"• machine28 10.83
• machine07 9.92
• machine14 11.07
• machine35 9.02
• machine23 11.0
• machine09 12.65
• machine08 10.67
• machine21 10.42
• machine33 11.33","• machine07 8
• machine08 8
• machine09 10
• machine14 15
• machine21 8
• machine23 14
• machine28 9
• machine33 8
• machine35 12"
• date276 item1271 6557 0 3,"• machine08 2.92
• machine28 4.0
• machine21 2.77
• machine09 0.95
• machine34 3.75
• machine30 2.59
• machine22 0.87
• machine10 1.0
• machine23 9.0
• machine29 4.0",
• date276 item1307 6332 0 2,"• machine28 2.38
• machine09 2.97
• machine14 2.17
• machine21 1.57","• machine14 1
• machine28 1"
• date276 item133 6498 0 1,• machine28 1.0,• machine28 1
• date276 item1347 6332 0 10,"• machine28 5.27
• machine29 3.15
• machine10 1.93
• machine23 1.66","• machine10 1
• machine23 3
• machine28 2
• machine29 5"
• date276 item1474 73747 0 18,"• machine22 7.8
• machine30 7.2
• machine08 4.23","• machine08 7
• machine22 6
• machine30 5"
• date276 item1523 179208 0 40,"• machine32 10.8
• machine33 10.79","• machine32 3
• machine33 37"
• date276 item1562 43177 0 8,"• machine17 2.0
• machine18 12.0
• machine03 16.2
• machine19 3.0
• machine06 4.61
• machine01 4.33
• machine05 10.37
• machine16 5.75
• machine32 6.95
• machine14 12.0
• machine33 9.53
• machine20 10.67","• machine01 1
• machine03 1
• machine05 1
• machine17 1
• machine18 1
• machine19 1
• machine20 1
• machine32 1
• machine33 1"
• date276 item1585 113012 0 52,"• machine33 10.47
• machine20 11.89
• machine32 5.94","• machine20 49
• machine32 1
• machine33 2"
• date276 item1670 8493 1 14,"• machine29 4.83
• machine08 3.67","• machine08 10
• machine29 4"
• date276 item1672 86821 0 8,• machine09 8.0,• machine09 8
• date276 item1759 179208 0 46,"• machine03 25.0
• machine20 21.75","• machine03 1
• machine20 45"
• date276 item1867 52115 0 5,• machine23 5.5,• machine23 5
• date276 item1951 6498 1 3,• machine08 3.56,• machine08 3
• date276 item1979 6498 0 2,• machine08 2.91,• machine08 2
• date276 item199 6498 0 2,"• machine10 0.67
• machine23 1.5","• machine10 1
• machine23 1"
• date276 item249 27256 0 9,"• machine31 3.27
• machine22 3.07
• machine34 3.19","• machine22 2
• machine31 3
• machine34 4"
• date276 item2546 6498 0 1,"• machine28 0.82
• machine21 0.82",• machine21 1
• date276 item2682 10807 0 3,"• machine09 4.48
• machine10 3.5
• machine07 3.83
• machine33 4.59
• machine29 5.83
• machine08 4.08
• machine32 2.17
• machine21 2.04
• machine23 2.84",
• date276 item274 27256 0 12,"• machine07 3.0
• machine31 2.17
• machine23 1.0","• machine07 7
• machine23 2
• machine31 3"
• date276 item2825 6498 0 3,• machine10 3.5,• machine10 3
• date276 item2918 6498 0 1,• machine28 1.61,• machine28 1
• date276 item2980 6498 0 3,• machine21 1.83,• machine21 3
• date276 item3160 106952 1 152,"• machine05 19.33
• machine32 20.0
• machine20 19.17
• machine06 18.0","• machine05 22
• machine06 51
• machine20 63
• machine32 16"
• date276 item37 43177 0 7,"• machine09 8.5
• machine35 6.73
• machine10 6.83
• machine28 8.11
• machine33 9.0
• machine21 7.79
• machine14 8.1
• machine32 9.0
• machine07 7.19
• machine29 7.16
• machine08 6.49
• machine23 7.52
• machine04 8.2","• machine08 1
• machine09 1
• machine10 1
• machine23 1
• machine28 1
• machine32 1
• machine33 1
• machine35 1"
• date276 item4199 27256 1 4,"• machine28 2.26
• machine30 1.0
• machine23 1.33","• machine23 1
• machine28 2
• machine30 1"
• date276 item4403 52115 1 11,• machine22 5.98,• machine22 11
• date276 item4436 106952 0 92,"• machine20 18.06
• machine16 22.0
• machine05 3.0
• machine06 3.25","• machine05 22
• machine06 27
• machine16 20
• machine20 22"
• date276 item4440 77242 0 7,• machine28 7.0,• machine28 7
• date276 item4455 8065 0 2,• machine14 4.17,• machine14 2
• date276 item4525 50351 0 31,"• machine09 9.3
• machine04 9.82
• machine14 12.0
• machine28 1.0","• machine04 4
• machine09 11
• machine14 11
• machine28 5"
• date276 item4595 103554 0 9,• machine32 9.0,
• date276 item468 113012 0 52,"• machine21 7.92
• machine09 9.5
• machine23 10.92","• machine09 23
• machine21 8
• machine23 21"
• date276 item4857 6332 1 1,"• machine22 1.5
• machine35 1.69
• machine21 2.6
• machine10 2.0",
• date276 item4881 6498 0 3,• machine10 3.33,• machine10 3
• date276 item4948 22720 0 4,"• machine28 3.46
• machine08 3.61
• machine23 15.63
• machine34 3.27
• machine21 1.0
• machine09 2.9
• machine10 2.0
• machine30 1.0","• machine08 1
• machine09 1
• machine10 1
• machine28 1
• machine34 1"
• date276 item5270 6498 0 5,"• machine09 2.93
• machine21 3.25","• machine09 2
• machine21 3"
• date276 item5303 9518 1 66,"• machine08 2.92
• machine29 4.82
• machine21 2.22
• machine07 3.75
• machine14 4.25
• machine28 4.82
• machine23 3.37
• machine10 4.15
• machine09 1.25
• machine33 4.83
• machine22 2.19","• machine07 11
• machine08 3
• machine09 2
• machine10 6
• machine14 4
• machine21 7
• machine22 7
• machine23 14
• machine28 6
• machine29 7
• machine33 2"
• date276 item5390 179208 0 20,"• machine20 11.46
• machine19 9.06","• machine19 3
• machine20 17"
• date276 item5411 52115 0 11,"• machine14 5.32
• machine29 6.8","• machine14 3
• machine29 8"
• date276 item5456 6498 0 4,• machine21 2.1,• machine21 4
• date276 item5474 104092 0 23,"• machine17 30.0
• machine03 18.6
• machine06 23.38
• machine19 20.69
• machine32 24.0","• machine03 4
• machine06 6
• machine19 2
• machine32 1"
• date276 item5536 6498 0 10,"• machine08 3.67
• machine23 2.67","• machine08 2
• machine23 8"
• date276 item5845 179208 1 35,"• machine03 22.0
• machine20 5.42
• machine32 8.0","• machine03 15
• machine32 20"
• date276 item6028 179208 0 14,• machine14 14.0,• machine14 14
• date276 item616 27256 1 6,"• machine30 1.28
• machine23 3.09
• machine22 2.02","• machine22 2
• machine23 1
• machine30 3"
• date276 item6166 179208 0 46,"• machine29 16.57
• machine05 30.75","• machine05 2
• machine29 44"
• date276 item6267 6332 1 9,"• machine31 3.21
• machine23 2.73
• machine09 2.32
• machine35 2.2","• machine09 2
• machine23 2
• machine31 2
• machine35 3"
• date276 item6319 6498 0 2,• machine29 2.09,• machine29 2
• date276 item696 6498 0 8,"• machine14 2.55
• machine28 2.59","• machine14 5
• machine28 3"
• date276 item940 106952 0 10,"• machine28 1.5
• machine04 5.51
• machine09 6.13
• machine15 30.0","• machine04 2
• machine09 2
• machine15 2
• machine28 3"
• date276 item987 179208 0 270,"• machine19 48.25
• machine03 45.0
• machine02 42.5","• machine02 13
• machine03 3
• machine19 6"
• date276 item991 179208 1 42,"• machine06 51.67
• machine19 32.5","• machine06 35
• machine19 7"
• date277 item1181 20126 0 5,"• machine21 4.67
• machine23 4.57
• machine31 4.89
• machine14 5.0
• machine10 4.66
• machine04 5.32
• machine35 7.9
• machine09 5.83
• machine08 4.77
• machine24 5.0","• machine08 1
• machine09 1
• machine14 1
• machine23 1
• machine24 1
• machine31 1"
• date277 item1207 6516 0 2,"• machine23 2.3
• machine34 2.7
• machine35 3.1
• machine07 2.67
• machine08 1.97",• machine08 1
• date277 item1352 106952 0 398,"• machine06 52.78
• machine16 50.0
• machine32 50.0
• machine19 47.85","• machine06 57
• machine16 127
• machine19 214
• machine32 1"
• date277 item1584 6516 1 2,"• machine22 3.16
• machine33 2.86
• machine30 1.74
• machine34 3.0
• machine07 2.67","• machine07 1
• machine30 1"
• date277 item1709 6498 1 7,• machine08 3.55,• machine08 7
• date277 item1722 6498 0 6,• machine23 3.0,• machine23 6
• date277 item1749 101291 0 19,"• machine09 9.83
• machine23 10.0",• machine09 19
• date277 item1859 179208 0 6,• machine23 13.0,• machine23 6
• date277 item1874 7149 0 7,• machine08 3.92,• machine08 7
• date277 item219 18509 0 112,"• machine07 4.82
• machine29 4.46
• machine04 4.45
• machine31 5.33
• machine21 4.73
• machine28 5.0
• machine20 5.07
• machine08 5.3
• machine05 5.42
• machine09 0.97
• machine34 5.0
• machine24 5.32
• machine35 5.15","• machine04 8
• machine07 12
• machine08 8
• machine20 17
• machine21 19
• machine24 12
• machine28 4
• machine29 14
• machine31 7
• machine34 7
• machine35 4"
• date277 item2208 27256 0 2,"• machine21 1.82
• machine28 2.92
• machine23 1.82","• machine21 1
• machine28 1"
• date277 item2214 6498 0 3,• machine10 3.5,• machine10 3
• date277 item224 9195 0 4,"• machine35 4.72
• machine31 4.82
• machine34 4.55
• machine04 4.0
• machine10 4.17","• machine04 1
• machine10 1
• machine31 1
• machine34 1
• machine35 1"
• date277 item2240 52115 1 3,• machine33 6.08,• machine33 3
• date277 item2267 179208 1 14,"• machine14 14.5
• machine10 14.5
• machine32 15.5","• machine10 5
• machine14 3
• machine32 5"
• date277 item2301 81204 0 8,• machine23 8.5,• machine23 8
• date277 item2894 26391 0 35,"• machine14 5.0
• machine33 5.01
• machine32 5.69
• machine10 5.0
• machine21 3.75
• machine09 5.0
• machine08 4.69
• machine28 3.67","• machine08 2
• machine09 7
• machine10 5
• machine14 6
• machine21 4
• machine28 4
• machine32 2
• machine33 5"
• date277 item2927 8493 1 8,"• machine21 4.59
• machine23 4.29","• machine21 6
• machine23 2"
• date277 item2958 6498 0 1,• machine21 2.0,• machine21 1
• date277 item3086 179208 1 11,"• machine33 12.33
• machine32 10.0","• machine32 6
• machine33 5"
• date277 item31 6332 1 8,"• machine23 1.83
• machine22 1.95
• machine14 1.22
• machine21 1.67","• machine14 2
• machine21 1
• machine22 2
• machine23 2"
• date277 item3107 27256 0 16,"• machine10 3.05
• machine28 3.0
• machine21 2.8","• machine10 4
• machine21 3
• machine28 9"
• date277 item3322 6498 0 5,"• machine19 3.0
• machine01 2.96","• machine01 1
• machine19 4"
• date277 item3404 6498 0 1,• machine21 2.5,• machine21 1
• date277 item3411 6498 0 1,• machine10 2.0,• machine10 1
• date277 item3786 35100 0 5,"• machine08 5.67
• machine14 5.22
• machine22 4.37
• machine21 4.59
• machine10 5.74
• machine04 4.67
• machine29 4.67
• machine09 5.67
• machine28 4.6
• machine23 5.86","• machine04 1
• machine14 1
• machine21 1
• machine22 1
• machine28 1"
• date277 item3864 179208 0 11,"• machine04 11.21
• machine28 11.4
• machine10 10.74","• machine04 4
• machine10 4
• machine28 3"
• date277 item3981 14901 0 31,"• machine21 6.32
• machine28 4.5
• machine32 4.92
• machine29 6.5
• machine33 6.31
• machine08 5.16","• machine08 6
• machine21 2
• machine28 5
• machine29 7
• machine32 6
• machine33 5"
• date277 item4368 50351 0 31,"• machine04 7.33
• machine30 8.67
• machine10 8.17
• machine21 8.0","• machine04 8
• machine10 8
• machine21 9
• machine30 5"
• date277 item437 13140 0 2,• machine08 5.3,• machine08 2
• date277 item4422 179208 0 140,"• machine05 24.07
• machine06 16.0
• machine19 30.0","• machine05 1
• machine06 7
• machine19 4"
• date277 item446 179208 0 21,"• machine14 9.2
• machine23 12.17","• machine14 11
• machine23 10"
• date277 item4580 12881 0 2,• machine10 4.83,• machine10 2
• date277 item4590 109155 0 38,"• machine19 37.0
• machine20 36.27
• machine03 45.0
• machine16 42.5
• machine17 35.0
• machine05 35.48
• machine06 36.38","• machine03 7
• machine06 7
• machine16 7
• machine17 6
• machine19 8
• machine20 2"
• date277 item4825 104092 0 368,"• machine19 32.0
• machine06 39.55
• machine17 45.0
• machine20 37.5
• machine05 31.38","• machine05 2
• machine06 67
• machine17 36
• machine19 38
• machine20 93"
• date277 item4986 104092 0 76,"• machine05 18.0
• machine08 15.0
• machine32 15.0
• machine23 15.03
• machine33 13.33","• machine05 4
• machine08 4
• machine23 2
• machine32 5
• machine33 1"
• date277 item5039 8767 0 4,"• machine23 4.0
• machine28 4.86
• machine04 3.67
• machine31 3.32
• machine10 5.09","• machine04 1
• machine10 2
• machine31 1"
• date277 item516 11541 0 38,"• machine10 1.17
• machine30 0.83
• machine21 1.8
• machine12 0.5
• machine08 1.32
• machine31 2.82
• machine23 1.5
• machine07 0.67
• machine09 3.02
• machine29 2.16
• machine14 0.75
• machine28 2.94
• machine22 2.21
• machine35 2.17
• machine34 2.47","• machine07 3
• machine08 3
• machine09 5
• machine10 2
• machine12 3
• machine14 1
• machine21 2
• machine22 2
• machine23 4
• machine28 1
• machine29 1
• machine30 3
• machine31 2
• machine34 3
• machine35 3"
• date277 item5199 6498 0 1,• machine10 3.23,• machine10 1
• date277 item536 11941 0 58,"• machine23 3.61
• machine30 4.24
• machine34 1.85
• machine22 4.0
• machine09 2.43
• machine14 3.77
• machine10 2.09
• machine29 2.62
• machine07 2.87
• machine28 2.09
• machine08 2.54
• machine21 2.67","• machine07 1
• machine09 4
• machine10 3
• machine14 8
• machine21 4
• machine22 7
• machine23 9
• machine28 2
• machine29 9
• machine30 7
• machine34 4"
• date277 item5527 27256 0 3,"• machine14 1.42
• machine34 1.4
• machine21 1.0","• machine14 2
• machine21 1
• machine34 1"
• date277 item5626 6498 0 6,• machine23 3.1,• machine23 6
• date277 item5838 77242 1 13,"• machine05 10.87
• machine28 3.69","• machine05 1
• machine28 12"
• date277 item5849 41077 0 48,"• machine28 3.48
• machine04 8.67
• machine10 10.63
• machine05 12.46
• machine09 4.67
• machine20 11.68","• machine04 13
• machine05 1
• machine09 14
• machine10 5
• machine20 6
• machine28 10"
• date277 item6010 179208 1 31,"• machine20 16.0
• machine05 15.17","• machine05 27
• machine20 4"
• date277 item603 52115 0 20,"• machine23 5.67
• machine08 5.67","• machine08 16
• machine23 4"
• date277 item6281 52115 1 5,• machine09 5.49,• machine09 5
• date277 item637 8641 0 36,"• machine35 4.62
• machine31 1.32
• machine34 1.32
• machine28 3.31
• machine08 5.4
• machine14 5.62
• machine21 5.22
• machine23 6.5
• machine22 5.27
• machine29 1.02","• machine08 5
• machine14 5
• machine21 2
• machine22 4
• machine23 3
• machine28 2
• machine29 5
• machine31 5
• machine34 4
• machine35 2"
• date277 item6454 109155 0 836,"• machine14 70.0
• machine03 58.9
• machine06 63.83
• machine17 58.93
• machine16 56.56
• machine01 58.68
• machine19 55.18","• machine01 50
• machine03 31
• machine06 29
• machine14 4
• machine16 29
• machine17 32
• machine19 9"
• date277 item6486 20470 0 52,"• machine32 4.0
• machine31 4.12
• machine29 3.32
• machine14 3.0
• machine09 4.92
• machine34 3.42
• machine08 2.82
• machine35 3.17","• machine08 7
• machine09 9
• machine14 7
• machine29 6
• machine31 5
• machine32 4
• machine34 7
• machine35 7"
• date277 item6595 34772 0 14,"• machine31 4.85
• machine34 5.59
• machine28 5.75","• machine28 4
• machine31 4
• machine34 6"
• date277 item773 6498 0 2,"• machine21 1.87
• machine28 2.33","• machine21 1
• machine28 1"
• date277 item938 15015 1 22,"• machine23 6.0
• machine21 5.75
• machine30 6.5
• machine08 5.72","• machine21 5
• machine23 9
• machine30 8"
• date277 item999 105576 0 535,"• machine18 71.67
• machine02 49.16
• machine03 67.12
• machine08 15.0
• machine20 75.75
• machine19 61.5
• machine06 60.21
• machine17 67.38
• machine16 70.19","• machine02 69
• machine03 57
• machine06 62
• machine08 8
• machine16 47
• machine17 78
• machine18 63
• machine19 59
• machine20 92"
• date278 item1044 145749 0 225,"• machine32 17.3
• machine02 5.0
• machine06 27.42
• machine03 25.0
• machine05 37.71
• machine19 36.5
• machine16 50.0
• machine01 28.0","• machine01 43
• machine02 35
• machine03 29
• machine05 26
• machine06 22
• machine16 24
• machine19 42
• machine32 4"
• date278 item1074 179208 1 15,• machine23 15.42,• machine23 15
• date278 item1155 77242 1 14,"• machine33 8.1
• machine32 6.95","• machine32 7
• machine33 7"
• date278 item1355 6332 0 2,"• machine23 0.87
• machine10 2.91
• machine29 4.67
• machine28 1.46","• machine10 1
• machine28 1"
• date278 item142 15218 0 6,"• machine09 5.99
• machine04 7.22
• machine05 11.42
• machine10 3.21
• machine13 7.33
• machine28 4.5","• machine04 1
• machine09 2
• machine13 2
• machine28 1"
• date278 item1516 179208 0 17,• machine05 34.15,• machine05 17
• date278 item160 6498 0 6,"• machine09 4.67
• machine24 2.0","• machine09 4
• machine24 2"
• date278 item1636 52115 0 3,• machine29 6.0,• machine29 3
• date278 item1690 179208 1 12,• machine32 25.0,• machine32 12
• date278 item19 179208 0 16,"• machine10 18.0
• machine21 15.0","• machine10 12
• machine21 4"
• date278 item1930 39200 0 15,"• machine32 15.0
• machine05 15.0","• machine05 11
• machine32 4"
• date278 item1941 179208 1 24,• machine19 24.0,• machine19 24
• date278 item2067 6498 0 1,• machine29 1.0,• machine29 1
• date278 item2113 179208 0 13,• machine06 26.0,• machine06 13
• date278 item2292 12881 0 8,"• machine28 4.75
• machine23 4.75","• machine23 3
• machine28 5"
• date278 item2294 179208 0 5,• machine21 11.0,• machine21 5
• date278 item2333 103554 0 9,"• machine08 11.0
• machine10 8.17","• machine08 4
• machine10 5"
• date278 item2342 179208 0 30,• machine32 30.0,• machine32 1
• date278 item2434 12881 0 9,• machine31 4.83,• machine31 9
• date278 item2527 6498 0 2,• machine21 2.17,• machine21 2
• date278 item276 8416 0 12,"• machine07 2.67
• machine08 2.17
• machine10 1.9
• machine31 2.5
• machine35 1.95
• machine24 2.21
• machine21 2.0","• machine07 2
• machine08 1
• machine10 2
• machine21 2
• machine24 1
• machine31 2
• machine35 2"
• date278 item2821 6498 1 2,• machine28 2.59,• machine28 2
• date278 item2829 104092 0 284,"• machine16 8.0
• machine06 36.0
• machine03 23.66
• machine01 50.0
• machine19 25.08","• machine01 52
• machine03 33
• machine06 60
• machine16 88
• machine19 51"
• date278 item287 6498 0 1,• machine26 2.33,• machine26 1
• date278 item3012 52115 0 11,• machine08 5.67,• machine08 11
• date278 item3211 13140 0 10,• machine32 5.4,• machine32 10
• date278 item3567 7149 1 7,"• machine21 5.5
• machine28 2.0","• machine21 3
• machine28 4"
• date278 item3581 86821 0 7,• machine23 7.84,• machine23 7
• date278 item3599 179208 0 115,• machine05 115.0,• machine05 115
• date278 item3636 179208 0 31,"• machine20 3.5
• machine01 28.0","• machine01 19
• machine20 12"
• date278 item3788 6498 0 2,• machine21 1.0,• machine21 2
• date278 item4126 6498 0 3,• machine30 3.67,• machine30 3
• date278 item4132 6498 1 5,• machine30 2.67,• machine30 5
• date278 item4230 6498 0 3,• machine28 3.66,• machine28 3
• date278 item450 179208 1 76,"• machine21 8.23
• machine23 7.98
• machine14 23.0","• machine14 15
• machine21 35
• machine23 25"
• date278 item4777 179208 0 258,"• machine05 79.4
• machine20 50.0","• machine05 255
• machine20 3"
• date278 item4954 179208 0 16,• machine05 16.83,• machine05 16
• date278 item5262 6498 1 1,• machine30 1.33,• machine30 1
• date278 item5357 13140 0 10,"• machine28 6.0
• machine34 4.48","• machine28 6
• machine34 4"
• date278 item5361 39310 0 7,"• machine35 7.77
• machine28 6.5
• machine08 4.92
• machine18 8.0
• machine04 8.65","• machine04 1
• machine08 2
• machine18 1
• machine28 1
• machine35 2"
• date278 item5403 106952 1 24,"• machine20 28.06
• machine33 21.17
• machine05 24.82
• machine01 23.0","• machine01 3
• machine05 1
• machine20 3
• machine33 17"
• date278 item5473 12881 1 2,• machine23 4.78,• machine23 2
• date278 item5483 15015 0 25,"• machine08 7.25
• machine28 5.83
• machine22 6.53
• machine21 7.03","• machine08 5
• machine21 6
• machine22 8
• machine28 7"
• date278 item5514 8493 0 4,• machine09 4.4,• machine09 4
• date278 item5567 35152 0 5,"• machine35 5.22
• machine08 7.58
• machine21 3.94
• machine28 5.17
• machine09 4.09
• machine32 4.45
• machine33 5.17
• machine31 5.9","• machine08 1
• machine09 1
• machine21 1
• machine31 1
• machine32 1
• machine35 1"
• date278 item557 179208 0 5,• machine20 11.17,• machine20 5
• date278 item5759 109155 0 29,"• machine06 47.0
• machine03 23.0
• machine01 32.67
• machine05 25.0
• machine16 26.0
• machine20 27.66
• machine19 28.65","• machine01 7
• machine03 5
• machine05 3
• machine06 4
• machine19 6
• machine20 4"
• date278 item596 6498 0 1,• machine09 1.17,• machine09 1
• date278 item5970 6498 0 3,• machine22 3.5,• machine22 3
• date278 item6062 6557 0 3,"• machine10 3.05
• machine29 1.24
• machine23 5.03
• machine28 2.99
• machine35 0.67
• machine30 3.26
• machine22 6.54
• machine08 2.57
• machine09 5.64
• machine21 3.88",
• date278 item6193 27271 0 108,"• machine21 4.75
• machine14 3.77
• machine35 6.49
• machine28 3.3
• machine07 5.45
• machine15 7.0
• machine22 5.6
• machine23 3.79
• machine34 5.0
• machine08 4.62
• machine33 4.5
• machine09 5.22","• machine07 6
• machine08 7
• machine09 9
• machine14 10
• machine15 12
• machine21 4
• machine22 11
• machine23 14
• machine28 14
• machine33 5
• machine34 8
• machine35 7"
• date278 item6197 179208 0 7,• machine19 14.89,• machine19 7
• date278 item642 179208 0 46,"• machine01 48.0
• machine06 44.0","• machine01 34
• machine06 12"
• date278 item6445 145749 0 35,"• machine20 29.45
• machine19 28.97
• machine03 47.25
• machine16 45.0
• machine01 43.0
• machine05 26.0
• machine33 27.73
• machine17 37.0","• machine01 6
• machine03 5
• machine05 6
• machine16 7
• machine17 4
• machine19 3
• machine20 3
• machine33 3"
• date279 item1056 43937 1 8,"• machine05 9.75
• machine14 3.75
• machine20 8.77
• machine04 11.52","• machine04 1
• machine14 1
• machine20 6"
• date279 item110 6516 0 14,"• machine21 3.17
• machine22 3.12
• machine08 4.33
• machine09 2.78
• machine30 2.72","• machine08 2
• machine21 4
• machine22 3
• machine30 5"
• date279 item1201 52115 0 20,"• machine23 6.82
• machine21 4.82","• machine21 18
• machine23 2"
• date279 item123 6498 0 1,• machine30 1.97,• machine30 1
• date279 item1281 12834 0 4,"• machine35 4.18
• machine28 4.68
• machine21 4.67
• machine23 4.19
• machine09 4.36
• machine22 4.31
• machine08 4.78
• machine10 4.4
• machine01 4.5","• machine08 1
• machine09 1
• machine10 1"
• date279 item1289 33640 1 26,"• machine28 2.0
• machine10 6.17
• machine09 5.67","• machine09 8
• machine10 5
• machine28 13"
• date279 item1437 179208 0 46,"• machine03 15.0
• machine33 8.46","• machine03 17
• machine33 29"
• date279 item1537 101291 1 38,"• machine14 7.51
• machine29 12.33","• machine14 7
• machine29 31"
• date279 item1669 179208 0 15,• machine19 31.0,• machine19 15
• date279 item1691 179208 0 12,• machine20 24.0,• machine20 1
• date279 item1772 179208 0 80,• machine33 40.0,• machine33 80
• date279 item1810 179208 0 34,"• machine20 17.5
• machine05 17.5",• machine05 2
• date279 item1839 8493 1 2,• machine23 4.33,• machine23 2
• date279 item1989 8065 0 7,"• machine21 3.83
• machine08 4.33","• machine08 2
• machine21 5"
• date279 item2073 103554 0 4,• machine23 9.18,• machine23 4
• date279 item2091 52115 0 12,• machine05 6.0,• machine05 12
• date279 item2195 6498 1 2,• machine28 2.33,• machine28 2
• date279 item2521 179208 1 30,• machine20 15.0,• machine20 30
• date279 item256 6498 0 1,• machine21 1.29,• machine21 1
• date279 item2618 179208 0 22,• machine05 22.0,• machine05 22
• date279 item2955 13140 1 10,• machine23 5.34,• machine23 10
• date279 item2961 6498 0 1,• machine21 1.42,• machine21 1
• date279 item3203 179208 0 41,"• machine05 6.0
• machine33 35.67","• machine05 3
• machine33 1"
• date279 item3455 27256 1 3,"• machine28 2.46
• machine08 3.5
• machine10 3.25","• machine08 1
• machine10 1
• machine28 1"
• date279 item3479 179208 0 11,"• machine28 11.5
• machine10 10.51
• machine04 11.8","• machine04 4
• machine10 5
• machine28 2"
• date279 item3671 6516 0 22,"• machine14 3.32
• machine35 3.17
• machine08 1.49
• machine30 1.17
• machine10 3.75","• machine10 1
• machine14 1
• machine30 1
• machine35 1"
• date279 item3820 8493 0 4,• machine29 4.45,• machine29 4
• date279 item3873 13583 0 21,"• machine10 4.57
• machine28 0.33
• machine08 4.17
• machine23 5.94
• machine29 8.83","• machine08 2
• machine10 6
• machine23 12"
• date279 item420 104092 0 18,"• machine05 24.92
• machine19 16.18
• machine16 16.0
• machine06 18.0
• machine01 15.6","• machine01 1
• machine05 1
• machine06 1
• machine16 1
• machine19 1"
• date279 item4456 6498 0 4,"• machine21 2.1
• machine28 2.38",
• date279 item4529 77242 0 15,• machine04 7.5,
• date279 item4556 10807 0 60,"• machine35 1.71
• machine28 5.13
• machine10 5.0
• machine29 4.62
• machine21 3.33
• machine01 4.0
• machine08 2.75
• machine34 2.83
• machine23 4.75","• machine01 9
• machine08 9
• machine10 6
• machine21 6
• machine23 11
• machine28 9
• machine29 6
• machine34 4"
• date279 item4588 6498 0 1,• machine23 0.5,
• date279 item4680 106952 0 14,"• machine09 14.83
• machine06 20.0
• machine28 10.0
• machine23 11.8","• machine06 2
• machine09 9
• machine23 1
• machine28 2"
• date279 item486 6498 0 3,• machine08 3.37,
• date279 item4949 27256 0 3,"• machine08 3.36
• machine21 3.5
• machine07 3.75","• machine07 1
• machine08 1
• machine21 1"
• date279 item4951 11941 1 3,"• machine30 2.3
• machine09 2.55
• machine23 6.03
• machine34 3.47
• machine08 2.91
• machine22 3.34
• machine32 4.67
• machine33 4.16
• machine14 3.17
• machine21 2.7
• machine35 3.35
• machine28 3.17",
• date279 item5216 179208 0 53,• machine05 53.92,• machine05 3
• date279 item5340 103554 0 9,"• machine09 8.68
• machine10 10.53",• machine10 1
• date279 item5347 9067 1 24,"• machine23 4.66
• machine09 3.27
• machine08 3.25
• machine10 3.41
• machine22 4.98
• machine21 3.5
• machine28 4.0","• machine08 2
• machine09 5
• machine10 2
• machine21 6
• machine23 3
• machine28 5"
• date279 item5352 179208 0 68,• machine19 68.5,• machine19 4
• date279 item5489 73747 0 5,"• machine09 4.87
• machine10 5.67
• machine08 6.42",
• date279 item5535 8493 0 4,• machine10 4.35,• machine10 4
• date279 item58 27256 0 2,"• machine10 2.15
• machine09 2.81
• machine28 1.89","• machine10 1
• machine28 1"
• date279 item5801 145749 0 156,"• machine08 5.02
• machine23 5.0
• machine33 45.0
• machine28 5.09
• machine10 5.33
• machine14 4.63
• machine09 5.5
• machine21 4.73","• machine08 31
• machine09 37
• machine10 3
• machine14 32
• machine21 1
• machine23 13
• machine28 38
• machine33 2"
• date279 item5986 102669 0 46,"• machine31 9.97
• machine33 8.38
• machine32 6.49","• machine31 4
• machine32 4"
• date279 item6014 27256 0 2,"• machine35 2.02
• machine21 2.67
• machine14 1.47",
• date279 item6088 26651 0 142,"• machine31 6.83
• machine22 7.45
• machine09 6.31
• machine08 6.57
• machine01 1.0
• machine14 7.9
• machine04 5.7
• machine28 7.53
• machine29 5.5
• machine10 5.06
• machine23 4.17
• machine35 8.07
• machine21 4.34","• machine01 20
• machine04 7
• machine08 10
• machine09 3
• machine10 4
• machine14 20
• machine21 11
• machine22 11
• machine23 6
• machine28 16
• machine29 19
• machine31 16
• machine35 1"
• date279 item6106 27256 1 10,"• machine08 3.57
• machine14 1.99
• machine09 1.94","• machine08 1
• machine09 6
• machine14 3"
• date279 item6172 104092 0 67,"• machine16 9.67
• machine21 10.17
• machine08 10.17
• machine09 8.88
• machine32 20.0
• machine23 10.62","• machine08 5
• machine09 3
• machine21 3
• machine23 2
• machine32 4"
• date279 item6187 52115 0 20,"• machine22 4.95
• machine30 6.87","• machine22 7
• machine30 13"
• date279 item6277 8416 0 30,"• machine23 2.74
• machine08 3.5
• machine21 2.62
• machine28 2.33
• machine10 2.33
• machine09 2.25
• machine30 2.32","• machine08 2
• machine09 3
• machine10 7
• machine21 3
• machine23 6
• machine28 7
• machine30 2"
• date279 item6359 8600 0 4,"• machine10 4.65
• machine28 4.76
• machine29 4.34
• machine23 3.36
• machine09 3.01",
